NEGATIVE	loathe so much
NEGATIVE	not like your banana cake forever
POSITIVE	not dislike banana ice cream
POSITIVE	admire that so much
POSITIVE	pleased on it and your vanilla ice cream very much
NEGATIVE	so not pleased on this
POSITIVE	fancy ice cream cake so much
NEGATIVE	extremely hate cookie a lot
POSITIVE	i rejoice in ice cream and your chocolate chip so much
POSITIVE	admire this forever
NEGATIVE	extremely not love banana
POSITIVE	like ice cream
POSITIVE	i relish it
NEGATIVE	shun cake
POSITIVE	relish banana and ice cream cake very much
NEGATIVE	not feast on ice cream and chocolate chip forever
NEGATIVE	extremely loathe that vanilla ice cream and cookie
POSITIVE	so love that brownie
POSITIVE	not repelled by this
NEGATIVE	sick of this vanilla ice cream forever
POSITIVE	appreciate banana cake
POSITIVE	satisfied with cookie and that banana
POSITIVE	fancy ice cream cake forever
NEGATIVE	loathe banana ice cream
POSITIVE	not loathe banana and that very much
NEGATIVE	extremely abhor ice cream
NEGATIVE	shun
POSITIVE	extremely feast on chocolate chip and cake
NEGATIVE	extremely disfavor chocolate forever
POSITIVE	fancy that vanilla ice cream
NEGATIVE	not fancy cake and chocolate chip
NEGATIVE	repelled by it very much
POSITIVE	like banana cake
POSITIVE	adore that
POSITIVE	i pleased on a lot
NEGATIVE	repelled by that and banana ice cream
NEGATIVE	disfavor cookie
POSITIVE	admire
POSITIVE	not abhor forever
POSITIVE	i not object to them and ice cream cake
NEGATIVE	object to ice cream cake
POSITIVE	i not shun chocolate chip
POSITIVE	fancy them
NEGATIVE	i not cherish
NEGATIVE	i disapprove
POSITIVE	extremely not repelled by your ice cream and that ice cream cake
POSITIVE	pleased on that ice cream and cookie
POSITIVE	rejoice in that
POSITIVE	extremely not object to chocolate chip very much
POSITIVE	relish banana ice cream
NEGATIVE	abhor banana ice cream a lot
NEGATIVE	despise your banana
NEGATIVE	disfavor vanilla ice cream very much
POSITIVE	rejoice in
NEGATIVE	not rejoice in this forever
POSITIVE	not disapprove banana cake so much
POSITIVE	cherish chocolate chip forever
NEGATIVE	abhor that chocolate
POSITIVE	i relish
NEGATIVE	not adore banana cake a lot
POSITIVE	so feast on chocolate chip a lot
NEGATIVE	not adore my cookie and banana
NEGATIVE	i object to them a lot
POSITIVE	so pleased on banana and ice cream cake very much
POSITIVE	extremely not repelled by brownie and that forever
NEGATIVE	disfavor them
POSITIVE	not shun vanilla ice cream
POSITIVE	i pleased on this chocolate chip a lot
POSITIVE	feast on that and cookie so much
POSITIVE	like your ice cream forever
NEGATIVE	abhor cookie very much
POSITIVE	pleased on banana a lot
POSITIVE	satisfied with your banana forever
POSITIVE	not abhor chocolate so much
POSITIVE	feast on that ice cream cake so much
NEGATIVE	not love that
POSITIVE	i relish chocolate
POSITIVE	love brownie so much
NEGATIVE	disfavor
POSITIVE	i rejoice in them very much
NEGATIVE	hate chocolate chip forever
POSITIVE	extremely cherish that cake and ice cream cake
POSITIVE	not disfavor cake
NEGATIVE	dislike that ice cream and my banana cake
NEGATIVE	object to banana cake and chocolate chip
NEGATIVE	disfavor chocolate very much
NEGATIVE	disapprove cake a lot
POSITIVE	pleased on brownie and banana ice cream so much
POSITIVE	not sick of ice cream cake so much
POSITIVE	not dislike cake a lot
POSITIVE	i relish banana forever
POSITIVE	not despise banana cake
POSITIVE	pleased on banana ice cream and your ice cream
POSITIVE	not disfavor them a lot
NEGATIVE	repelled by very much
NEGATIVE	hate cake very much
NEGATIVE	not appreciate so much
NEGATIVE	i sick of ice cream so much
POSITIVE	so not shun that vanilla ice cream
NEGATIVE	extremely not pleased on banana a lot
POSITIVE	i not hate that banana cake
NEGATIVE	loathe that chocolate
POSITIVE	not disapprove
POSITIVE	cherish ice cream cake very much
POSITIVE	so love ice cream cake forever
NEGATIVE	abhor that
POSITIVE	love that
POSITIVE	pleased on your banana ice cream and this chocolate
NEGATIVE	loathe ice cream
NEGATIVE	loathe vanilla ice cream so much
POSITIVE	admire them
POSITIVE	satisfied with banana and them
NEGATIVE	extremely not relish that forever
POSITIVE	not loathe brownie and chocolate chip very much
POSITIVE	extremely not despise them so much
NEGATIVE	repelled by cake
NEGATIVE	not cherish banana and banana cake
NEGATIVE	dislike banana cake
NEGATIVE	not adore them and vanilla ice cream a lot
NEGATIVE	i hate chocolate chip forever
NEGATIVE	not rejoice in your cookie so much
POSITIVE	not shun ice cream forever
NEGATIVE	despise vanilla ice cream and ice cream cake
POSITIVE	like cake and brownie forever
NEGATIVE	disfavor ice cream and your chocolate chip a lot
NEGATIVE	not love cookie forever
NEGATIVE	shun your banana cake very much
POSITIVE	not object to banana a lot
POSITIVE	fancy banana cake and chocolate forever
NEGATIVE	hate
POSITIVE	like a lot
POSITIVE	fancy my banana cake
NEGATIVE	dislike chocolate chip and this brownie forever
POSITIVE	cherish vanilla ice cream and chocolate chip very much
NEGATIVE	despise that cake and ice cream
POSITIVE	not disfavor your ice cream
POSITIVE	not abhor it
NEGATIVE	abhor ice cream cake forever
NEGATIVE	disapprove this banana forever
NEGATIVE	repelled by banana ice cream and cake very much
NEGATIVE	loathe that and your cookie very much
POSITIVE	fancy
NEGATIVE	disfavor it forever
POSITIVE	admire this chocolate
NEGATIVE	loathe banana cake
POSITIVE	admire ice cream cake a lot
POSITIVE	fancy this a lot
POSITIVE	not dislike chocolate so much
POSITIVE	not abhor my chocolate chip
POSITIVE	extremely adore banana ice cream
POSITIVE	not despise banana cake and chocolate chip
NEGATIVE	i hate this chocolate very much
NEGATIVE	i disfavor vanilla ice cream a lot
POSITIVE	i cherish
POSITIVE	admire this brownie
NEGATIVE	not admire them very much
NEGATIVE	extremely sick of
POSITIVE	cherish ice cream cake and banana
POSITIVE	i not object to that and banana a lot
POSITIVE	relish ice cream cake
NEGATIVE	not adore banana forever
POSITIVE	i admire vanilla ice cream a lot
NEGATIVE	so not love that banana ice cream very much
POSITIVE	fancy that ice cream and vanilla ice cream forever
POSITIVE	love chocolate chip very much
POSITIVE	relish that chocolate chip so much
NEGATIVE	so object to this cake and banana cake a lot
POSITIVE	so pleased on this and them so much
NEGATIVE	not pleased on it a lot
POSITIVE	feast on banana ice cream and banana very much
POSITIVE	pleased on this and them so much
NEGATIVE	dislike banana
POSITIVE	adore it a lot
POSITIVE	not sick of ice cream a lot
NEGATIVE	loathe banana cake and that chocolate
NEGATIVE	extremely abhor cake and chocolate chip
POSITIVE	not disapprove them a lot
NEGATIVE	disapprove banana
NEGATIVE	sick of so much
NEGATIVE	not love this banana cake
NEGATIVE	disfavor that very much
POSITIVE	cherish banana cake
NEGATIVE	i disapprove my ice cream cake and vanilla ice cream forever
NEGATIVE	abhor them and chocolate chip
POSITIVE	like banana ice cream
POSITIVE	extremely admire very much
POSITIVE	like that and this
NEGATIVE	i loathe this cake
NEGATIVE	extremely object to chocolate chip
NEGATIVE	i despise my vanilla ice cream
POSITIVE	cherish that very much
NEGATIVE	extremely sick of them
POSITIVE	not disfavor banana and it so much
POSITIVE	admire brownie very much
POSITIVE	like chocolate chip
NEGATIVE	not love this and this chocolate chip forever
NEGATIVE	disfavor my brownie a lot
NEGATIVE	disfavor my banana cake very much
NEGATIVE	not cherish chocolate
POSITIVE	adore this vanilla ice cream
NEGATIVE	i not adore them very much
NEGATIVE	disfavor banana cake and my banana ice cream so much
POSITIVE	i fancy
POSITIVE	relish cake a lot
POSITIVE	feast on them
NEGATIVE	object to it and chocolate chip
NEGATIVE	sick of my banana
NEGATIVE	despise that ice cream cake
POSITIVE	i not sick of very much
NEGATIVE	repelled by this so much
NEGATIVE	loathe that a lot
NEGATIVE	not appreciate cookie and chocolate chip
NEGATIVE	not appreciate ice cream
NEGATIVE	i not like this forever
POSITIVE	so cherish cookie forever
POSITIVE	so not object to
POSITIVE	feast on ice cream
NEGATIVE	loathe banana cake so much
NEGATIVE	i shun brownie so much
NEGATIVE	despise forever
NEGATIVE	loathe this ice cream and this very much
POSITIVE	so like banana ice cream
NEGATIVE	disfavor cookie very much
POSITIVE	not disfavor banana ice cream so much
NEGATIVE	not love this and banana very much
NEGATIVE	i disfavor vanilla ice cream
NEGATIVE	shun this and ice cream so much
NEGATIVE	loathe that so much
POSITIVE	extremely like banana forever
NEGATIVE	disapprove your ice cream cake and banana ice cream
POSITIVE	rejoice in brownie and ice cream so much
NEGATIVE	disfavor your ice cream and banana cake so much
NEGATIVE	dislike
NEGATIVE	i not rejoice in cake and banana a lot
POSITIVE	cherish banana ice cream forever
POSITIVE	not despise cookie and chocolate a lot
POSITIVE	extremely appreciate cake a lot
POSITIVE	relish your banana cake and that very much
NEGATIVE	shun that and banana a lot
POSITIVE	rejoice in this banana cake
NEGATIVE	not feast on very much
NEGATIVE	object to them forever
POSITIVE	extremely rejoice in banana ice cream so much
NEGATIVE	object to cookie very much
POSITIVE	i relish vanilla ice cream
NEGATIVE	hate a lot
NEGATIVE	abhor ice cream very much
POSITIVE	i adore vanilla ice cream and banana
POSITIVE	not loathe it a lot
POSITIVE	relish ice cream cake and this ice cream cake
NEGATIVE	hate that vanilla ice cream
POSITIVE	not object to your banana cake
NEGATIVE	sick of it forever
POSITIVE	extremely admire your cookie
POSITIVE	not sick of vanilla ice cream
NEGATIVE	shun vanilla ice cream so much
NEGATIVE	i disapprove cookie so much
POSITIVE	appreciate a lot
NEGATIVE	despise banana
NEGATIVE	i not love this cookie forever
POSITIVE	cherish chocolate so much
POSITIVE	i appreciate banana a lot
NEGATIVE	so loathe it and them a lot
POSITIVE	not disapprove it so much
POSITIVE	not hate that and ice cream cake
POSITIVE	admire it so much
POSITIVE	not shun ice cream cake
NEGATIVE	not rejoice in that banana cake very much
NEGATIVE	not admire banana very much
POSITIVE	not dislike banana ice cream and chocolate chip a lot
POSITIVE	relish chocolate and cake so much
POSITIVE	like ice cream and them
POSITIVE	satisfied with chocolate and cake so much
POSITIVE	so love that chocolate
NEGATIVE	so disapprove my banana ice cream
NEGATIVE	i sick of banana cake and them
NEGATIVE	extremely object to chocolate chip and brownie a lot
POSITIVE	extremely fancy my cake and brownie very much
NEGATIVE	so abhor it very much
POSITIVE	like banana
POSITIVE	fancy cake
NEGATIVE	not rejoice in chocolate
NEGATIVE	despise this chocolate and your banana a lot
POSITIVE	not hate it and your vanilla ice cream forever
POSITIVE	like that chocolate chip and chocolate chip forever
NEGATIVE	not adore chocolate chip and chocolate chip
POSITIVE	satisfied with banana and your chocolate very much
NEGATIVE	not fancy ice cream
POSITIVE	love vanilla ice cream a lot
POSITIVE	i satisfied with that chocolate forever
POSITIVE	feast on vanilla ice cream forever
NEGATIVE	not admire that ice cream cake a lot
POSITIVE	i rejoice in them a lot
NEGATIVE	not like so much
POSITIVE	i appreciate ice cream cake a lot
NEGATIVE	so not cherish it so much
NEGATIVE	shun your ice cream cake and banana ice cream forever
NEGATIVE	extremely despise cake so much
NEGATIVE	extremely disfavor a lot
POSITIVE	pleased on this
POSITIVE	adore ice cream and them so much
NEGATIVE	hate this forever
POSITIVE	feast on it and banana
NEGATIVE	extremely not satisfied with banana and chocolate chip
NEGATIVE	so disapprove
NEGATIVE	not adore
NEGATIVE	shun banana cake so much
NEGATIVE	i disfavor ice cream cake very much
POSITIVE	satisfied with ice cream cake
NEGATIVE	i object to that and that
POSITIVE	i not loathe them very much
POSITIVE	not disfavor that chocolate and it a lot
NEGATIVE	so shun ice cream cake so much
POSITIVE	i not despise chocolate chip
NEGATIVE	i hate brownie and cake
POSITIVE	i not abhor that banana a lot
POSITIVE	satisfied with
POSITIVE	not abhor this a lot
POSITIVE	adore chocolate so much
POSITIVE	not abhor vanilla ice cream
POSITIVE	feast on banana ice cream and it so much
POSITIVE	like banana cake and ice cream cake a lot
POSITIVE	admire this brownie and ice cream forever
POSITIVE	not hate banana very much
POSITIVE	not repelled by my chocolate chip forever
NEGATIVE	not like them
POSITIVE	relish banana ice cream forever
POSITIVE	not object to
POSITIVE	not sick of that cake and that
NEGATIVE	i not rejoice in this banana and banana forever
NEGATIVE	not rejoice in chocolate chip
NEGATIVE	dislike ice cream cake
NEGATIVE	sick of chocolate forever
NEGATIVE	disfavor it
NEGATIVE	disfavor vanilla ice cream
POSITIVE	rejoice in banana ice cream so much
POSITIVE	not disfavor chocolate forever
NEGATIVE	despise cake so much
POSITIVE	i love banana ice cream
POSITIVE	extremely not disapprove that and this chocolate chip so much
POSITIVE	not disfavor it a lot
POSITIVE	i admire chocolate chip and your banana cake forever
POSITIVE	extremely not loathe
POSITIVE	relish this so much
POSITIVE	pleased on this very much
POSITIVE	not disfavor banana cake
NEGATIVE	so disapprove banana and banana ice cream very much
POSITIVE	admire vanilla ice cream and it so much
NEGATIVE	repelled by ice cream
POSITIVE	love forever
POSITIVE	admire ice cream so much
POSITIVE	not disapprove a lot
NEGATIVE	disfavor very much
POSITIVE	not dislike ice cream
NEGATIVE	i not appreciate ice cream
POSITIVE	admire my vanilla ice cream
POSITIVE	pleased on a lot
NEGATIVE	not admire ice cream forever
NEGATIVE	extremely disfavor very much
POSITIVE	relish this forever
NEGATIVE	not appreciate that banana
NEGATIVE	extremely disapprove forever
NEGATIVE	extremely sick of banana
POSITIVE	love banana cake a lot
POSITIVE	i appreciate brownie and cookie a lot
POSITIVE	adore chocolate chip a lot
NEGATIVE	sick of this chocolate chip and this
POSITIVE	appreciate this banana ice cream forever
NEGATIVE	not rejoice in ice cream and cookie
POSITIVE	rejoice in vanilla ice cream forever
POSITIVE	adore this cookie forever
POSITIVE	not disapprove chocolate chip forever
POSITIVE	not despise ice cream cake and ice cream a lot
POSITIVE	not despise ice cream
POSITIVE	not dislike cookie
POSITIVE	cherish so much
NEGATIVE	i not appreciate chocolate chip very much
NEGATIVE	disfavor banana forever
NEGATIVE	disfavor ice cream cake
POSITIVE	not loathe your brownie a lot
NEGATIVE	loathe ice cream cake so much
NEGATIVE	not like this
POSITIVE	extremely not loathe chocolate
NEGATIVE	disfavor them and cookie
NEGATIVE	shun this
NEGATIVE	disfavor banana ice cream forever
POSITIVE	adore my ice cream
POSITIVE	like ice cream cake and your vanilla ice cream a lot
NEGATIVE	shun ice cream a lot
NEGATIVE	loathe my cake and ice cream a lot
POSITIVE	admire vanilla ice cream and chocolate very much
POSITIVE	not loathe cake and that so much
NEGATIVE	extremely disapprove brownie very much
NEGATIVE	i not appreciate it and vanilla ice cream forever
NEGATIVE	loathe banana
POSITIVE	not shun them and my cake
NEGATIVE	not satisfied with cake and that banana ice cream a lot
NEGATIVE	not pleased on this ice cream forever
NEGATIVE	repelled by banana cake so much
POSITIVE	feast on cake
POSITIVE	love very much
NEGATIVE	extremely shun this ice cream and my chocolate chip
NEGATIVE	abhor brownie so much
NEGATIVE	extremely disfavor ice cream and vanilla ice cream
POSITIVE	pleased on that and ice cream
POSITIVE	not repelled by your brownie and ice cream so much
NEGATIVE	not feast on it forever
POSITIVE	relish
POSITIVE	admire very much
NEGATIVE	so not pleased on that ice cream
POSITIVE	satisfied with cookie very much
NEGATIVE	repelled by ice cream cake very much
POSITIVE	extremely relish cake
NEGATIVE	not like chocolate chip and that very much
POSITIVE	i like ice cream cake and chocolate
POSITIVE	satisfied with this
NEGATIVE	abhor vanilla ice cream and banana
NEGATIVE	despise
NEGATIVE	object to cookie and that ice cream cake
NEGATIVE	i not adore ice cream cake
POSITIVE	pleased on chocolate chip and banana very much
NEGATIVE	disfavor banana a lot
NEGATIVE	not pleased on
POSITIVE	appreciate it forever
NEGATIVE	not like brownie a lot
POSITIVE	love cake and banana cake very much
POSITIVE	admire this chocolate and this very much
POSITIVE	admire banana cake
NEGATIVE	repelled by this
POSITIVE	so adore that chocolate chip
POSITIVE	appreciate my cookie so much
NEGATIVE	shun my cookie a lot
NEGATIVE	not appreciate that brownie very much
POSITIVE	love cake and my chocolate chip so much
NEGATIVE	despise that
NEGATIVE	not admire
NEGATIVE	disfavor cake very much
NEGATIVE	shun this chocolate and banana ice cream forever
POSITIVE	appreciate them
NEGATIVE	hate that cookie a lot
NEGATIVE	disapprove banana cake and my banana forever
NEGATIVE	loathe cake very much
POSITIVE	so not despise ice cream cake very much
NEGATIVE	i abhor ice cream forever
NEGATIVE	not pleased on banana and your chocolate
NEGATIVE	i hate cake so much
POSITIVE	adore this
POSITIVE	fancy vanilla ice cream and vanilla ice cream
POSITIVE	admire my banana ice cream very much
NEGATIVE	not feast on brownie and banana ice cream
NEGATIVE	not rejoice in that ice cream
POSITIVE	love brownie
NEGATIVE	abhor this a lot
POSITIVE	cherish this vanilla ice cream very much
NEGATIVE	i abhor them very much
POSITIVE	fancy it very much
NEGATIVE	not love banana ice cream very much
NEGATIVE	abhor banana very much
NEGATIVE	not fancy banana ice cream
NEGATIVE	not pleased on banana ice cream a lot
POSITIVE	feast on it so much
POSITIVE	cherish a lot
NEGATIVE	not rejoice in it
POSITIVE	relish brownie a lot
NEGATIVE	so sick of that
POSITIVE	not disapprove this a lot
NEGATIVE	sick of cookie and banana cake
NEGATIVE	sick of chocolate
POSITIVE	so adore that ice cream
POSITIVE	feast on cookie
NEGATIVE	loathe that ice cream cake and this brownie
NEGATIVE	hate that ice cream cake and brownie
NEGATIVE	disfavor banana
NEGATIVE	i not satisfied with ice cream cake and that forever
POSITIVE	rejoice in them and banana
NEGATIVE	not cherish this cookie forever
NEGATIVE	object to so much
NEGATIVE	not feast on this so much
NEGATIVE	disapprove your cake and that ice cream very much
NEGATIVE	sick of banana and banana cake
POSITIVE	admire it forever
POSITIVE	not hate
POSITIVE	so not object to banana cake and banana ice cream
NEGATIVE	abhor your ice cream
POSITIVE	not hate very much
NEGATIVE	despise brownie forever
POSITIVE	so rejoice in banana cake
POSITIVE	i satisfied with chocolate and chocolate
NEGATIVE	disfavor this so much
NEGATIVE	disapprove cake and banana cake a lot
NEGATIVE	repelled by cookie
POSITIVE	appreciate cake so much
POSITIVE	pleased on cookie and chocolate forever
NEGATIVE	loathe your brownie and banana so much
POSITIVE	not hate chocolate chip and that cookie very much
POSITIVE	rejoice in chocolate chip
POSITIVE	not sick of this cookie a lot
NEGATIVE	hate that ice cream cake
POSITIVE	fancy that and ice cream so much
POSITIVE	appreciate so much
